"powiat","samochodyZielone","gęstość","ludnosc","przystanki","odsetek65","cenyMieszkan","parki","ogółem","rodzaj_powiat"
"Powiat jarociński",120.222168282479,119,70037,63.6806259548524,18.1,241373,4.14066850379085,5391.4,"ziemski"
"Powiat goleniowski",103.207913015733,50.4,81486,54.9787693591537,18.4,231103,17.5490268266942,5991.11,"ziemski"
"Powiat bartoszycki",156.708004509583,40.7,53220,56.9334836527621,19.9,134437,23.6753100338219,5411.23,"ziemski"
"Powiat raciborski",83.0215856122592,183.9,99974,42.9111569007942,19.3,222366,11.1028867505551,6823.09,"ziemski"
"Powiat średzki",138.519892392267,96.1,59847,61.8243186792989,16.5,265602,6.85080288067906,6078.3,"ziemski"
"Powiat kościerski",114.500117684522,62,72227,36.1360709983801,16,278272,6.5072618272945,5458.75,"ziemski"
"Powiat jaworski",173.167451244116,81.9,47584,51.2777404169469,21,211948,10.9280430396772,6142.84,"ziemski"
"Powiat rybnicki",106.358050406165,343.4,76816,27.2078733597167,16.7,178525,3.51489273068111,5660.84,"ziemski"
"Powiat węgrowski",131.040131040131,51,62271,42.8771017006311,20.2,223268,2.89059112588524,5786.65,"ziemski"
"Powiat makowski",193.782801776342,39.6,42109,72.4310717423829,19.8,190090,2.37478923745518,5493.65,"ziemski"
"Powiat szamotulski",88.9262294187607,81.9,91649,40.2623050988009,17.2,280201,7.74694759353621,6309.72,"ziemski"
"Powiat m. Piotrków Trybunalski",120.123691722169,1000.4,67264,38.6536631779258,23.2,295095,3.41936251189343,5465.3,"grodzki"
"Powiat przasnyski",162.119494818653,40.5,49408,60.1117227979275,18.1,235836,7.48866580310881,5756.31,"ziemski"
"Powiat staszowski",115.940348690599,74.6,69001,146.519615657744,20.7,197915,2.60865784553847,5856.73,"ziemski"
"Powiat kołobrzeski",103.389676599167,105.9,77087,56.1703010883807,21.9,422288,26.2041589373046,5585.13,"ziemski"
"Powiat piotrkowski",86.9430727250632,63.4,90519,78.6575194158133,18.4,200285,1.65711066185,5278.96,"ziemski"
