powiat,samochodyZielone,gęstość,ludnosc,przystanki,odsetek65,cenyMieszkan,parki,ogółem,rodzaj powiat
Powiat m. Chełm,521,1642.1,57933,186,23.6,239708,32,"5,619.61",grodzki
Powiat rawicki,520,106.4,58867,285,18,242385,51,"5,294.49",ziemski
Powiat białogardzki,515,53,44771,233,19.5,174494,75,"5,746.07",ziemski
Powiat m. Świnoujście,514,194.8,39368,158,24.3,"143,912",22,"6,061.29",grodzki
Powiat złotowski,512,40.7,67589,329,17.3,210399,49,"4,964.93",ziemski
Powiat wąbrzeski,507,65.4,32756,358,18.6,152626,10,"5,653.97",ziemski
Powiat m. Krosno,506,991.3,44322,266,23.4,275870,12,"5,420.94",grodzki
Powiat proszowicki,506,101.9,42268,265,19.7,233239,5,"5,577.77",ziemski
Powiat krasnostawski,500,57.9,59754,621,23.8,229117,28,"5,376.97",ziemski
Powiat grudziądzki,500,53.7,39162,581,16.1,174755,20,"5,523.49",ziemski
Powiat grodziski,498,80.2,51626,127,15.4,214960,47,"5,493.60",ziemski
Powiat wieruszowski,491,72,41583,207,18.4,304286,33,"5,075.66",ziemski
